skills,major,education_level,pay,location
Metadata Management,Computer Science,High school or GED|Associate degree,,California
"Apache Hadoop, Big Data, Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Nevada
Metadata,Computer Science,Bachelor's degree,,Illinois
Metadata,Computer Science,Bachelor's degree,,Illinois
Machine Learning,Computer Science,No Education Listed,,Oregon
Artificial Intelligence,Computer Science,No Education Listed,,New York
Machine Learning,Computer Science,Bachelor's degree,,Texas
Big Data,Computer Science,No Education Listed,,New York
Artificial Intelligence,Computer Science,No Education Listed,151124.0,California
Machine Learning,Computer Science,No Education Listed,,Illinois
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Ph.D. or professional degree,,Alaska
Big Data,Computer Science,Associate degree,,"Washington, D.C. (District of Columbia)"
"Big Data, Machine Learning",Computer Science,Bachelor's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree,,Kentucky
"Apache Hadoop, Data Science, Machine Learning",Computer Science,Master's degree,,Texas
Metadata,Computer Science,Master's degree,,Arizona
"Data Science, Big Data, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,California
Data Manipulation,Computer Science,High school or GED,,Maine
"Apache Hadoop, Big Data, Data Manipulation Language, Machine Learning",Computer Science,Bachelor's degree,,Minnesota
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,Master's degree,145000.0,California
Metadata,Computer Science,Bachelor's degree,,Illinois
Machine Learning,Computer Science,No Education Listed,95125.0,California
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,California
Metadata,Computer Science,Bachelor's degree,,New York
"Apache Hadoop, Machine Learning, Big Data Analytics, Big Data",Computer Science,Master's degree|Ph.D. or professional degree,,California
"Big Data, Big Data Analytics",Computer Science,No Education Listed,,Virginia
Metadata,Computer Science,No Education Listed,33280.0,Arizona
"Apache Hadoop, Data Engineering, Big Data, Machine Learning",Computer Science,Bachelor's degree,,Texas
Machine Learning,Computer Science,Bachelor's degree,,New Mexico
"Metadata Management, Big Data",Computer Science,Bachelor's degree,,California
"Metadata Standards, Metadata Management",Computer Science,Bachelor's degree,,California
"Apache Hadoop, Machine Learning Algorithms, Machine Learning",Computer Science,No Education Listed,,Pennsylvania
Artificial Intelligence,Computer Science,Bachelor's degree,,California
